protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 106.39.169.231 10.0.3.15 443 51812 40 40 44 398 40 1460 286557 58 58 62 416 58 1478 286557 5 5 5 5 5 5 0 17 17 7 8 6 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 443 51811 40 40 40 41 44 44 4 58 40 58 59 62 62 4 5 5 5 5 5 5 0 3 3 1 0 0 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.171.84 38321 443 40 40 40 52 77 77 304 58 40 58 70 95 95 304 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 28400 28400 0 28400
tcp 106.39.171.84 10.0.3.15 443 38321 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 2 2 1 0 0 0 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.10 19391 53 57 57 57 57 57 57 0 75 57 75 75 75 75 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.10 10.0.3.15 53 19391 256 256 256 256 256 256 0 274 256 274 274 274 274 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 106.39.169.231 51813 443 40 40 40 275 40 1178 185196 58 58 58 293 58 1196 185196 5 5 5 5 5 5 0 16 15 9 6 5 1 1 0 36920 14600 0 25812
tcp 10.0.3.15 106.39.169.231 51814 443 40 40 40 62 40 1161 18761 58 58 58 80 58 1179 18761 5 5 5 5 5 5 0 114 113 108 5 4 1 1 0 65320 14600 0 59076
tcp 106.39.169.231 10.0.3.15 443 51813 40 40 71 476 1097 1460 330962 58 40 89 494 1115 1478 330962 5 5 5 5 5 5 0 19 19 6 11 8 1 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.10 3637 53 64 64 64 64 64 64 0 82 64 82 82 82 82 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 106.39.169.231 10.0.3.15 443 51814 40 60 1460 813 60 1460 482860 58 78 1478 831 78 1478 482860 5 5 5 5 5 5 0 201 201 5 194 87 1 1 0 65535 65535 0 65535
udp 202.113.16.10 10.0.3.15 53 3637 286 286 286 286 286 286 0 304 286 304 304 304 304 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 106.39.169.150 42640 80 40 40 40 308 40 1358 275895 58 58 58 326 58 1376 275895 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 106.39.169.150 10.0.3.15 80 42640 40 40 40 115 40 410 21788 58 58 58 133 58 428 21788 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.10 53547 53 62 62 62 62 62 62 0 80 62 80 80 80 80 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 150.138.120.1 51362 443 40 40 40 145 40 1053 69133 58 58 58 163 58 1071 69133 5 5 5 5 5 5 0 14 13 9 4 3 1 1 0 28400 14600 0 22400
tcp 10.0.3.15 150.138.120.1 51363 443 40 40 40 133 40 1069 63552 58 58 58 151 58 1087 63552 5 5 5 5 5 5 0 16 15 11 4 3 1 1 0 31240 14600 0 23328
tcp 10.0.3.15 150.138.120.1 51364 443 40 40 40 154 40 1069 75774 58 58 58 172 58 1087 75774 5 5 5 5 5 5 0 13 12 8 4 3 1 1 0 28400 14600 0 22594
udp 10.0.3.15 202.113.16.10 1470 53 55 55 55 55 55 55 0 73 55 73 73 73 73 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 150.138.120.1 51365 443 40 40 40 45 40 60 75 58 58 58 63 58 78 75 5 5 5 5 5 5 0 4 3 2 1 0 1 1 0 14600 14600 0 14600
udp 10.0.3.15 202.113.16.10 39573 53 62 62 62 62 62 62 0 80 62 80 80 80 80 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.10 10.0.3.15 53 53547 241 241 241 241 241 241 0 259 241 259 259 259 259 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.10 10.0.3.15 53 1470 268 268 268 268 268 268 0 286 268 286 286 286 286 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 150.138.120.1 51366 443 40 40 40 100 40 1021 40445 58 58 58 118 58 1039 40445 5 5 5 5 5 5 0 24 23 19 4 3 1 1 0 59640 14600 0 36142
tcp 10.0.3.15 150.138.120.1 51367 443 40 40 40 88 40 1149 38924 58 58 58 106 58 1167 38924 5 5 5 5 5 5 0 32 31 27 4 3 1 1 0 65320 14600 0 44679
